Index,Hours,Julian_day,Week_day,T_°C,SR_W/m2,p_mb,Prec_mm,RH_%,WD_°,WS_m/s,NO2_ug/m3
31944,23,235,4,13.31,0,727.85,0,49.59,211.88,2.27,15.48
31945,0,236,5,12.94,0,727.61,0,53.37,207.59,2.44,16.53
31946,1,236,5,12.73,0,727.34,0,55.1,215.27,2.5,8.01
31947,2,236,5,12.69,0,727.06,0,54.56,207.66,2.19,7.64
31948,3,236,5,12.67,0,726.87,0,54.75,207.88,2.11,7.64
31949,4,236,5,12.67,0,727.05,0,55.32,207.27,2.43,6.62
31950,5,236,5,12.13,0,727.11,0,58.3,210.48,2.74,8.86
31951,6,236,5,12.18,38.39,727.21,0,58.59,207.87,2.7,14.86
31952,7,236,5,14.43,301.38,727.39,0,50.11,194.78,3.39,18.4
31953,8,236,5,16.1,547.52,727.55,0,44.44,184.3,3.45,18.52
31954,9,236,5,16.74,433.71,727.63,0,42.25,177.46,3.54,17.12
31955,10,236,5,17.75,870.87,727.61,0,40.13,145.46,2.74,17.59
31956,11,236,5,18.05,757.13,727.31,0,38.93,155.68,3.03,16.12
31957,12,236,5,17.89,500.32,726.73,0,38.87,115.51,3.15,15.31
31958,13,236,5,17.79,635.41,726.12,0,39.05,108.24,3.32,14.62
31959,14,236,5,18.42,432.08,725.6,0,36.76,121.7,2.45,17.89
31960,15,236,5,16.65,217.64,725.49,0,41.64,113.37,2.83,17.2
31961,16,236,5,17.04,159.44,725.41,0,40.3,173.21,2.52,22.03
31962,17,236,5,16.07,46.96,725.65,0,43.72,176.11,2.79,28.03
31963,18,236,5,15.04,0,726.24,0,46.15,183.2,2.96,30.54
31964,19,236,5,13.93,0,726.66,0,50.04,202.84,2.66,30.24
31965,20,236,5,13.13,0,727.07,0,52.77,208.24,3.13,20.89
31966,21,236,5,12.6,0,727.58,0,55.22,209.07,2.77,18.49
31967,22,236,5,12.33,0,727.81,0,55.27,210.41,2.56,14.54
31968,23,236,5,12.09,0,727.68,0,56.45,200.61,2.9,10.54
31969,0,237,6,12,0,727.44,0,57.65,205.43,2.84,7.17
31970,1,237,6,12.11,0,726.71,0,56.86,202.45,3.07,5.74
31971,2,237,6,12,0,726.32,0,57.75,200.49,3.15,5.16
31972,3,237,6,11.93,0,726.15,0,56.83,200.44,2.96,
31973,4,237,6,11.66,0,726.37,0,57.46,204.34,3.34,3.88
31974,5,237,6,11.49,0,726.79,0,56.7,203.92,3.24,5.06
31975,6,237,6,12.03,53.23,727.08,0,53.11,205.44,3.3,8.42
31976,7,237,6,13.52,297.24,727.65,0,49.31,202.92,3.78,11.64
31977,8,237,6,14.92,551.87,728.02,0,44.43,202.22,3.33,12.25
31978,9,237,6,16.73,762.14,728.07,0,38.27,189.27,3.13,14.95
31979,10,237,6,18.11,917.9,727.62,0,34.97,173.54,3.22,10.3
31980,11,237,6,19.42,750.63,726.84,0,31.97,173.45,2.08,12.33
31981,12,237,6,19.78,780.66,726.21,0,30.66,107.5,3.42,10.06
31982,13,237,6,19.28,336.93,725.66,0,33.27,153.72,2.62,15.43
31983,14,237,6,19.32,384.84,725.02,0,32.21,113.48,2.54,11.75
31984,15,237,6,19.58,570.83,724.55,0,32.69,111.38,2.93,9.96
31985,16,237,6,18.14,105,724.4,0,36.14,95.06,2.39,14.88
31986,17,237,6,17.13,42.78,724.65,0,39.33,73.69,2.15,14.34
31987,18,237,6,16.01,0,725.39,0,39.46,148.14,1.66,24.16
31988,19,237,6,15.03,0,726.09,0,46.37,103.9,0.85,24.65
31989,20,237,6,13.82,0,726.5,0,48.42,209.05,0.88,27.83
31990,21,237,6,13.53,0,726.88,0,47.29,206.21,2.25,19.56
31991,22,237,6,13.33,0,727.08,0,49.92,202.79,2.82,9.9
31992,23,237,6,12.88,0,726.97,0,53.47,198.55,2.86,6.79
31993,0,238,0,12.71,0,726.59,0,53.4,202.1,2.45,5.92
31994,1,238,0,12.43,0,726.18,0,54.79,211.82,2.58,4.46
31995,2,238,0,12.07,0,725.83,0,57.16,213.6,2.43,4.08
31996,3,238,0,12.12,0,725.66,0,58.83,204.87,2.4,4.18
31997,4,238,0,11.93,0,725.8,0,60.32,197.71,2.29,5.24
31998,5,238,0,11.84,0,725.95,0,61.29,205.87,2.52,9.41
31999,6,238,0,12.32,49.72,726.52,0,58.63,204.02,2.53,23.46
32000,7,238,0,14.35,285.2,727.05,0,49.88,195.48,3.36,26
32001,8,238,0,15.51,550.78,727.51,0,40.99,178.31,4.02,27.61
32002,9,238,0,17.05,765.5,727.4,0,35.08,171.54,2.79,25.72
32003,10,238,0,18.27,904.22,727.07,0,31.45,180.83,2.71,20.61
32004,11,238,0,19.5,950.03,726.4,0,30.32,138.73,2.18,24.9
32005,12,238,0,19.78,906.9,725.64,0,29.98,131.31,2.83,21.96
32006,13,238,0,20.07,993.71,724.85,0,28.68,101.76,3.19,17.94
32007,14,238,0,19.92,461.24,724.41,0,30.74,112.18,2.88,19.94
32008,15,238,0,20.05,649.41,724.12,0,32.04,104.09,2.84,19.6
32009,16,238,0,18.06,199.01,724.11,0,39.5,106.59,4.17,20.77
32010,17,238,0,16.26,60.43,724.62,0,44.43,100.7,2.8,26.6
32011,18,238,0,15.62,0,725.05,0,45.54,158.27,2.35,39.1
32012,19,238,0,14.4,0,725.6,0,47.91,183.4,3.2,37.89
32013,20,238,0,13.99,0,726.2,0,49.26,194.83,3.01,34.15
32014,21,238,0,13.12,0,726.81,0,53.64,208.75,3.05,19.18
32015,22,238,0,12.77,0,727.06,0,55.22,210.23,3.12,13.96
32016,23,238,0,12.71,0,726.9,0,55.48,207.04,3.44,9.07
32017,0,239,1,12.49,0,726.58,0,55.49,215.45,3.14,6.87
32018,1,239,1,12.36,0,726.1,0,55.87,209.43,3.2,4.93
32019,2,239,1,12.22,0,725.82,0,56.49,215.11,2.99,4.05
32020,3,239,1,12.13,0,725.71,0,56.72,215.07,2.97,
32021,4,239,1,12.23,0,725.58,0,55.54,210.12,2.99,5.67
32022,5,239,1,12.26,0,725.91,0,55.69,214.1,3.34,8.46
32023,6,239,1,12.7,54.88,726.47,0,54.72,210.12,3.12,20.83
32024,7,239,1,14.64,292.3,727.06,0,48.86,202.71,3.18,25.63
32025,8,239,1,16.06,544.02,727.36,0,44.23,201.48,2.87,27.86
32026,9,239,1,17.46,776.55,727.37,0,39.51,169.43,2.65,28.54
32027,10,239,1,18.86,967.82,727.06,0,35.8,135.29,2.28,
32028,11,239,1,18.86,1086.24,726.78,0,34.09,106.75,3.81,
32029,12,239,1,18.95,777.46,726.17,0,33.78,106.34,4.04,22.25
32030,13,239,1,18.76,678.3,725.17,0,34.59,112.9,3.15,22.95
32031,14,239,1,19.21,438.31,724.45,0,33.53,113.77,2.62,23.67
32032,15,239,1,18.5,410.13,724.02,0,37.44,109.82,2.84,26.66
32033,16,239,1,19.2,303.69,723.8,0,34.51,121.58,2.17,29.82
32034,17,239,1,17.72,86.21,724.1,0,37.27,103.58,3.01,33.18
32035,18,239,1,16.25,0,724.71,0,41.99,155.34,1.44,52.84
32036,19,239,1,15.24,0,725.43,0,44.29,184.27,3.09,48.34
32037,20,239,1,14.52,0,725.77,0,45.25,213.02,2.1,42.32
32038,21,239,1,14.09,0,726.13,0,48.43,214.02,2.73,27.18
32039,22,239,1,13.9,0,726.46,0,50.83,213.23,2.08,22.06
32040,23,239,1,13.95,0,726.21,0,51.34,227.55,1.79,18.47
32041,0,240,2,14.04,0,726.28,0,53.42,189.69,1.48,19.52
32042,1,240,2,13.92,0,725.78,0,54.02,182.87,0.06,9.99
32043,2,240,2,13.21,0,725.22,0,56.35,357.02,1.46,7.34
32044,3,240,2,12.99,0,725.08,0,56.45,153.05,0.53,8.52
32045,4,240,2,12.91,0,725.15,0,51.85,200.79,2.05,5.18
32046,5,240,2,13.31,0,725.66,0,50.99,239.06,0.71,15.62
32047,6,240,2,13.34,22.78,725.95,0,51.4,201.28,1.12,31.24
32048,7,240,2,14.17,238.05,726.3,0,47.59,201.28,3.5,37.58
32049,8,240,2,15.28,392.32,726.79,0,43.12,187.82,3.56,31.55
32050,9,240,2,16.08,470.99,726.87,0,41.77,181.77,4.11,29.47
32051,10,240,2,17.99,738.18,726.65,0,37.84,168.97,2.82,24.04
32052,11,240,2,18.72,986.5,726.49,0,35.8,103.71,3.43,21.61
32053,12,240,2,19.1,1110.5,725.82,0,34.57,105.86,4.45,17.88
32054,13,240,2,18.97,795.19,725.06,0,34.96,113.86,3.92,17.91
32055,14,240,2,18.57,547.41,724.54,0,36.06,100.81,4.32,18.52
32056,15,240,2,18.37,485.08,724.15,0,36.97,101.12,3.22,21.56
32057,16,240,2,17.65,203.86,724.09,0,38.74,91.91,3.06,23.35
32058,17,240,2,16.37,47.3,724.34,0,43.81,94.92,2.34,31.2
32059,18,240,2,15.17,0,724.96,0,52.16,76.38,0.72,36.52
32060,19,240,2,14.53,0,725.49,0,54.9,107.6,0.56,47.37
32061,20,240,2,14.16,0,726.21,0,53.76,145.85,0.62,42.22
32062,21,240,2,14.07,0,726.98,0,52.77,162.75,1.42,38.84
32063,22,240,2,13.49,0,727.08,0,53.01,199.19,1.76,32.02
32064,23,240,2,13.23,0,726.92,0,52.61,196.1,2.73,19.28
32065,0,241,3,12.89,0,726.37,0,52.01,200.68,2.71,11.92
32066,1,241,3,12.66,0,725.8,0,52.82,208.38,3.13,5.95
32067,2,241,3,12.35,0,725.23,0,53.85,219.56,3.5,3.93
32068,3,241,3,12.51,0,724.93,0,52.66,212.97,3.04,
32069,4,241,3,12.59,0,725.17,0,52.81,213.07,2.31,6.9
32070,5,241,3,12.5,0,725.38,0,53.57,215.78,2.44,12.21
32071,6,241,3,13,52.5,725.7,0,52.09,208.51,1.87,40.6
32072,7,241,3,15.11,290.6,726.19,0,47.3,201.11,2.98,28.82
32073,8,241,3,16.41,530.23,726.64,0,42.98,182.28,3.2,28.28
32074,9,241,3,17.43,799.62,726.82,0,37.79,138.56,2.95,22.99
32075,10,241,3,18.02,962.79,726.84,0,34.13,99.68,4.15,18.27
32076,11,241,3,18.53,1051.81,726.53,0,32.72,112.63,3.71,18.74
32077,12,241,3,19.06,1069.57,725.94,0,31.87,111.49,3.25,18.4
32078,13,241,3,19.07,752.47,725.18,0,33.31,102.7,3.28,16.14
32079,14,241,3,18.38,533.97,724.67,0,33.81,99.49,3.82,18.08
32080,15,241,3,17.89,346.33,724.49,0,36.65,109.19,3.16,23.07
32081,16,241,3,16.97,162.7,724.69,0,40.52,130.48,2.38,27.74
32082,17,241,3,16.14,52.4,724.93,0,43.96,126.98,1.89,36.92
32083,18,241,3,14.82,0,725.47,0,47.6,166.09,1.88,29.01
32084,19,241,3,14.31,0,725.95,0,47.51,164.49,1.88,35.57
32085,20,241,3,13.73,0,726.5,0,47.59,177.34,2.09,33.04
32086,21,241,3,13.14,0,726.94,0,47.76,206.64,1.19,29.18
32087,22,241,3,12.38,0,727.22,0,48.8,216.99,1.3,44.66
32088,23,241,3,11.92,0,727.18,0,50.86,211.06,2.5,17.15
32089,0,242,4,11.73,0,727.07,0,50.45,208.69,2.91,8.13
32090,1,242,4,11.43,0,726.6,0,51.08,208.72,2.81,5.77
32091,2,242,4,11.21,0,726.1,0,50.78,205.77,2.67,5.09
32092,3,242,4,11,0,725.75,0,48.33,207.71,3.08,4.58
32093,4,242,4,10.97,0,725.79,0,44.88,196.02,2.87,5.42
32094,5,242,4,10.91,0,725.88,0,42.62,199.17,2.95,10.92
32095,6,242,4,11.58,58.48,726.38,0,39.89,199.58,3.2,21.82
32096,7,242,4,13.28,311.83,726.92,0,37.46,195.9,3.9,25.51
32097,8,242,4,14.78,576.62,727.31,0,33.06,193.91,3.74,31.43
32098,9,242,4,17.05,782.51,727.23,0,25.6,201,2.4,29.02
32099,10,242,4,18.57,935.23,727.11,0,20.05,156.18,1.89,21.92
32100,11,242,4,19.35,1029.98,726.74,0,19.89,109.55,3.01,22.82
32101,12,242,4,19.98,1039.72,725.99,0,19.5,133.58,2.79,26.22
32102,13,242,4,20.29,979.48,725.25,0,22.79,99.43,3.49,22.02
32103,14,242,4,20.28,828.95,724.67,0,25.78,120.42,3.35,21.54
32104,15,242,4,19.77,658.14,724.18,0,28.52,105.37,3.83,21.1
32105,16,242,4,19.52,408.7,724.08,0,31.28,130.02,2.88,23.63
32106,17,242,4,17.6,96.57,724.29,0,36.25,102.72,3.01,31.87
32107,18,242,4,15.57,0,725.05,0,43.41,131.26,2.61,30.54
32108,19,242,4,14.76,0,725.71,0,46.76,168.8,2.65,35.19
32109,20,242,4,14.07,0,726.38,0,48.3,193.62,1.37,36.42
32110,21,242,4,13.65,0,726.86,0,47.06,195.32,1.53,53.79
32111,22,242,4,12.74,0,727.13,0,49.16,226.54,1,55.4
32112,23,242,4,12.4,0,727.19,0,48.44,203.53,1.86,29.04
32113,0,243,5,12.36,0,727,0,47.93,209.55,2.2,15.58
32114,1,243,5,12.36,0,726.69,0,48.14,210.83,2.09,13.8
32115,2,243,5,11.95,0,726.26,0,50.28,203.63,1.37,17.19
32116,3,243,5,11.51,0,726.05,0,55.15,331.57,0.42,
32117,4,243,5,11.03,0,726.11,0,60.86,244.05,0.39,37.94
32118,5,243,5,11.28,0,726.21,0,59.14,210.51,1.06,46.34
32119,6,243,5,11.15,52.56,726.5,0,62.07,317.66,0.39,46.92
32120,7,243,5,15.24,273.05,726.67,0,46.3,167.69,0.94,42.07
32121,8,243,5,16.5,554.08,727.18,0,40.27,181.96,1.76,22.01
32122,9,243,5,16.98,781.66,727.28,0,38.59,165.34,2.64,15.91
32123,10,243,5,17.74,951.05,727.28,0,37.4,110.09,2.69,14.69
32124,11,243,5,18.6,1006.47,726.84,0,34.91,105.76,2.57,13.28
32125,12,243,5,19.87,1105.29,726.16,0,31.62,129.26,2.22,12.33
32126,13,243,5,20.6,1051.17,725.39,0,29.15,99.87,2.55,14.06
32127,14,243,5,19.79,452.68,724.76,0,33.3,39.32,1.63,18.37
32128,15,243,5,19.48,292.7,724.18,0,36.36,13.13,2.34,20.8
32129,16,243,5,18.31,275.46,724.25,0,45.32,1.27,2.95,15.56
32130,17,243,5,16.6,64.48,724.63,0,52.01,6.64,2.7,27.7
32131,18,243,5,15.32,0,725.26,0,56.27,6.81,2.6,35
32132,19,243,5,14.65,0,726.07,0,59.72,13.38,1.72,36.47
32133,20,243,5,14.01,0,726.83,0,61.45,47.33,0.58,24.99
32134,21,243,5,13.54,0,727.17,0,58.11,256.43,0.31,20.32
32135,22,243,5,13.38,0,727.35,0,56.48,218.8,0.76,38.25
32136,23,243,5,13.28,0,727.4,0,56.38,196.24,1.43,35.53
32137,0,244,6,13.17,0,727,0,53.97,211.98,2.05,18.54
32138,1,244,6,13.08,0,726.24,0,52.69,201.01,1.51,19.18
32139,2,244,6,12.58,0,725.65,0,54.27,204.88,2.53,10.83
32140,3,244,6,12.5,0,725.59,0,54.9,220.57,2.47,6.48
32141,4,244,6,12.39,0,725.71,0,54.69,212.1,2.53,5.59
32142,5,244,6,12.15,0,726.02,0,56.06,207.74,2.56,5.82
32143,6,244,6,12.77,59.12,726.45,0,54.36,205.77,2.77,9.78
32144,7,244,6,14.52,262.06,726.89,0,47.17,197.32,2.88,13.93
32145,8,244,6,16.01,569.24,727.14,0,42.17,190.06,3.26,16.29
32146,9,244,6,17.22,757.32,727.23,0,37.84,169.93,2.93,12.64
32147,10,244,6,18.04,826.44,727.44,0,36.8,116.42,2.62,10.5
32148,11,244,6,18.35,1098.81,727.07,0,35.77,101.89,3.73,8.63
32149,12,244,6,19.71,1034.96,726.09,0,31.7,110.33,1.91,9.8
32150,13,244,6,19.46,426.92,725.43,0,32,106.76,2.6,11.79
32151,14,244,6,18.72,401.93,724.94,0,33.87,99.54,3.69,11.12
32152,15,244,6,18.27,319.81,724.34,0,35.85,97.82,2.9,13.25
32153,16,244,6,18.27,127.46,724.05,0,35.71,79.43,1.71,17
32154,17,244,6,16.83,51.73,724.41,0,49.02,356.9,1.83,16.48
32155,18,244,6,15.18,0,725.24,0,57.18,13.2,2.29,22.72
32156,19,244,6,14.44,0,725.8,0,59.05,63.05,0.56,27.4
32157,20,244,6,13.48,0,726.39,0,62.32,118.55,0.71,33.8
32158,21,244,6,13,0,727.01,0,59.17,207.24,0.71,37.13
32159,22,244,6,12.58,0,727.41,0,50.2,203.85,2.63,16.08
32160,23,244,6,12.29,0,727.28,0,46.71,207.33,2.75,7.44
32161,0,245,0,11.88,0,726.96,0,48.02,208.37,2.69,5.22
32162,1,245,0,11.53,0,726.42,0,50.95,198.22,3.05,3.65
32163,2,245,0,11.29,0,726.11,0,51.64,209.9,2.95,3.39
32164,3,245,0,11.24,0,725.66,0,51.98,207.65,3.43,
32165,4,245,0,11.42,0,725.48,0,51.68,203.85,3.42,2.9
32166,5,245,0,11.72,0,725.45,0,50.86,204.54,3.62,6.12
32167,6,245,0,12.31,61.73,725.99,0,48.98,197.03,3.38,23.54
32168,7,245,0,13.88,310.28,726.6,0,44.41,196.3,3.95,23.41
32169,8,245,0,15.28,570.86,727.07,0,40.18,188.03,3.76,27.01
32170,9,245,0,17.54,766.57,726.99,0,34.46,206.86,1.47,21.08
32171,10,245,0,19.22,919.82,726.76,0,31.46,76.37,1.1,18.46
32172,11,245,0,20.08,1004.84,726.14,0,30.2,89.92,1.53,20.93
32173,12,245,0,21.37,1023.29,725.33,0,27.66,82.97,1.05,16.3
32174,13,245,0,22.23,649.58,724.39,0,24.93,95.63,1.37,23.68
32175,14,245,0,21.2,473.41,723.61,0,34.44,3.73,2.89,17.66
32176,15,245,0,18.75,271.63,723.44,0,46.42,343.69,3.88,8.09
32177,16,245,0,18.06,121.59,723.68,0,50.64,311.19,1.02,20.91
32178,17,245,0,17.21,80.78,724.19,0,53.81,7.37,1.28,32.31
32179,18,245,0,15.6,0,724.83,0,59.73,10.1,1.58,49.65
32180,19,245,0,14.44,0,725.48,0,67.08,54.62,0.52,58.36
32181,20,245,0,13.26,0,726.04,0,69.46,282.45,0.66,52.87
32182,21,245,0,13.42,0,726.6,0,71.82,202.3,1.07,56.89
32183,22,245,0,13.56,0,726.87,0,64.42,193.34,1.55,45.22
32184,23,245,0,13.05,0,726.73,0,59.67,203.54,1.07,23.57
32185,0,246,1,12.23,0,726.39,0,59.58,208.35,1.1,17.44
32186,1,246,1,12.17,0,725.86,0,56.63,211.43,1.71,11.8
32187,2,246,1,12.06,0,725.31,0,55.81,198.51,2.04,8.4
32188,3,246,1,12.05,0,725.31,0,51.82,206.08,1.83,8.39
32189,4,246,1,11.87,0,725.43,0,52.17,210.82,1.86,8.81
32190,5,246,1,11.77,0,725.51,0,53.1,207.39,2,19.99
32191,6,246,1,12.59,61.18,725.66,0,51.14,203.71,2.37,45.57
32192,7,246,1,15.11,305.26,726.12,0,44.56,186.62,3.15,44.9
32193,8,246,1,16.59,562.24,726.77,0,41.78,162.34,1.54,29.79
32194,9,246,1,17.95,766.87,726.69,0,37.93,165.71,1.43,26.49
32195,10,246,1,19.19,928.75,726.6,0,35.64,96.92,1.81,22.84
32196,11,246,1,20.14,1026.96,725.85,0,33.77,129.2,1.5699999999999998,18.05
32197,12,246,1,20.54,1048.88,725.03,0,33.2,115.97,2.71,19.76
32198,13,246,1,20.78,917.67,724.37,0,30.73,108.17,2.6,20.03
32199,14,246,1,21.32,811.28,723.64,0,28.45,106.82,2.42,20.21
32200,15,246,1,21.18,464.77,722.96,0,29.48,92.37,1.3,23.54
32201,16,246,1,19.66,321.79,723.01,0,41.8,354.26,3.16,13.57
32202,17,246,1,17.5,63.28,723.61,0,47.69,1.75,3.13,23
32203,18,246,1,15.82,0,724.63,0,54.95,356.59,2.63,21.95
32204,19,246,1,14.93,0,725.44,0,58.61,348.62,1.51,26.24
32205,20,246,1,14.46,0,726.24,0,62.27,29.45,0.72,46.88
32206,21,246,1,13.91,0,726.82,0,64.77,246.77,0.65,51.89
32207,22,246,1,13.94,0,726.97,0,55.82,193.65,2.3,31.06
32208,23,246,1,13.53,0,726.98,0,53.82,198.4,2.17,14.7
32209,0,247,2,13.23,0,726.71,0,55.11,203.1,2,9.21
32210,1,247,2,13.17,0,726.4,0,55.65,199.84,0.85,11.16
32211,2,247,2,11.68,0,726.14,0,63.96,257.07,0.48,21.22
32212,3,247,2,11.97,0,725.86,0,62.06,213.8,1.18,
32213,4,247,2,12.13,0,725.93,0,62,203.33,1.65,10.65
32214,5,247,2,12.11,0,726.23,0,62.07,198.57,2.21,14.2
32215,6,247,2,12.72,58.67,726.66,0,60.06,197.83,2.61,29.24
32216,7,247,2,15.1,315.62,726.9,0,51.19,198.07,3.01,24.56
32217,8,247,2,16.53,558.07,727.33,0,45.78,191.01,2.53,26.33
32218,9,247,2,17.94,787.39,727.42,0,41.55,169.71,2.17,22.64
32219,10,247,2,18.79,695.43,726.92,0,38.74,178.73,1.69,21.95
32220,11,247,2,19.32,581.46,726.48,0,37.92,113.14,2.22,23.86
32221,12,247,2,20.25,1078.94,725.75,0,35.4,104.66,2.3,19.28
32222,13,247,2,21.16,753.76,725,0,34.05,85.64,1.71,17.62
32223,14,247,2,19.12,426.01,724.6,0,46.1,357.41,3.51,17.14
32224,15,247,2,17.55,167.29,724.67,0,51.88,348.2,3.35,10.89
32225,16,247,2,16.83,180.4,724.86,0,54.43,359.72,3.5,20.62
32226,17,247,2,16.07,62.69,725.55,0,57.55,3.48,2.38,30.68
32227,18,247,2,15.42,0,726.19,0,60.18,3.98,2.23,42.17
32228,19,247,2,14.71,0,726.87,0,58.94,199.81,0.28,30.43
32229,20,247,2,14.44,0,727.28,0,54.21,174.32,0.66,26.38
32230,21,247,2,14.12,0,727.81,0,55.47,250.81,0.71,29.98
32231,22,247,2,14.09,0,728.23,0,52.4,169.05,1.79,24.03
32232,23,247,2,13.63,0,728.04,0,51.16,190.82,0.92,19.85
32233,0,248,3,13.41,0,727.48,0,52.84,205.26,1.96,14.49
32234,1,248,3,13.14,0,727.03,0,53.46,202.5,2.73,5.92
32235,2,248,3,12.6,0,726.86,0,56.85,203.06,2.9,4.09
32236,3,248,3,12.51,0,726.71,0,55.83,211.45,2.83,3.87
32237,4,248,3,12.46,0,726.7,0,55.28,201.87,2.46,5.6
32238,5,248,3,12.26,0,727.13,0,56.74,205.06,2.92,10.25
32239,6,248,3,12.57,55.72,727.45,0,56.2,204.01,3.3,20.06
32240,7,248,3,14.73,310.16,727.85,0,49.56,195.47,3.24,25.84
32241,8,248,3,16.4,561.14,728.31,0,43.93,201.54,2.12,24.31
32242,9,248,3,17.79,770.86,728.2,0,39.29,198.76,2.24,23.82
32243,10,248,3,19.06,942.47,727.97,0,35.91,104.98,1.12,17.33
32244,11,248,3,19.47,598.88,727.63,0,35.84,79.01,1.75,21.22
32245,12,248,3,20.47,878.06,726.82,0,33.71,113,1.81,19.12
32246,13,248,3,20.13,647.42,726.16,0,33.97,96.72,2.64,18.37
32247,14,248,3,20.45,310.42,725.47,0,33.28,101.54,1.3,23.93
32248,15,248,3,19.8,399.64,724.98,0,38.88,40.98,1.69,22.34
32249,16,248,3,19.1,267.66,724.98,0,46.28,356.07,2.82,15.35
32250,17,248,3,17.25,60.67,725.3,0,52.54,5.93,2.38,35.67
32251,18,248,3,15.67,0,726.05,0,60.51,18.29,1.95,49.59
32252,19,248,3,14.58,0,726.73,0,65.5,18.43,1.67,49.98
32253,20,248,3,13.92,0,727.32,0,67.88,13.52,1.62,45.77
32254,21,248,3,13.42,0,727.91,0,68.48,342.45,0.76,38.88
32255,22,248,3,13.29,0,727.97,0,70.31,152.67,0.93,46.82
32256,23,248,3,13.64,0,727.72,0,58.17,207.53,2.44,14.43
32257,0,249,4,13.73,0,727.44,0,56.99,212.48,2.48,9.25
32258,1,249,4,13.42,0,726.88,0,59.37,209.24,2.56,7.79
32259,2,249,4,13.24,0,726.51,0,60.34,207.45,2.46,6.34
32260,3,249,4,13.05,0,726.31,0,61.17,202.29,2.4,
32261,4,249,4,12.81,0,726.26,0,61.74,205.8,2.3,7
32262,5,249,4,12.67,0,726.54,0,61.1,209.81,2.2,12.51
32263,6,249,4,13.53,85.53,726.8,0,56.94,202.75,2.44,24.52
32264,7,249,4,15.63,330.83,727.29,0,49.73,199.57,3.2,22.16
32265,8,249,4,16.78,530.45,727.67,0,45.28,185.25,2.61,25.93
32266,9,249,4,17.88,709.06,727.67,0,40.71,173.18,2.32,21.81
32267,10,249,4,18.79,764.19,727.47,0,38.76,149.13,2.03,23.48
32268,11,249,4,19.71,1076.13,727.06,0,35.48,112.96,3.32,17.05
32269,12,249,4,19.62,896.75,726.55,0,33.96,109.47,3.65,17.12
32270,13,249,4,19.86,848.9,725.93,0,32.06,99.89,3.53,18.73
32271,14,249,4,20.08,626.49,725.42,0,31.18,108.66,3.11,20.49
32272,15,249,4,18.31,249.81,725.34,0,36.05,106.82,4.06,20.21
32273,16,249,4,17.29,135.17,725.53,0,39.34,107.98,3.61,22.03
32274,17,249,4,16.13,49.32,725.86,0,43.18,102.35,2.71,29.41
32275,18,249,4,15.16,0,726.34,0,46.57,139.4,1.96,32.26
32276,19,249,4,14.38,0,726.82,0,48.49,190.93,1.5,41.39
32277,20,249,4,14.2,0,727.18,0,46.97,198.18,2.06,40.9
32278,21,249,4,13.45,0,727.66,0,50.65,209.9,2.81,27.42
32279,22,249,4,12.95,0,727.97,0,53.19,212.06,2.97,17.33
32280,23,249,4,12.69,0,728.01,0,55.36,209.57,3.21,12.09
32281,0,250,5,12.45,0,727.56,0,56.72,207.11,3.21,8.87
32282,1,250,5,12.35,0,727.06,0,58.29,206.03,3.08,7.08
32283,2,250,5,12.19,0,726.53,0,59.5,207.06,3.17,6.14
32284,3,250,5,12.15,0,726.4,0,59.93,203.22,2.6,7.2
32285,4,250,5,11.89,0,726.37,0,61.61,206.21,2.58,7.59
32286,5,250,5,12,0,726.46,0,61.38,204.09,2.59,9.28
32287,6,250,5,13.02,66.04,726.72,0,57.47,201.9,2.56,14.14
32288,7,250,5,15,315.49,727.19,0,51.39,196.01,3.12,17.94
32289,8,250,5,16.53,552.06,727.6,0,45.61,207.6,2.77,20.2
32290,9,250,5,17.96,739.55,727.74,0,40.69,173.79,1.92,18.41
32291,10,250,5,18.87,937.29,727.5,0,35.51,135.66,2.27,16.46
32292,11,250,5,19.41,1052.82,727.15,0,30.69,101.12,4.14,16.93
32293,12,250,5,19.49,1056.22,726.69,0,29.04,104.11,4.22,15.87
32294,13,250,5,19.71,993.02,726.02,0,28.26,104.44,4.36,14.71
32295,14,250,5,20.08,864.85,725.45,0,29.99,104.85,3.58,14.39
32296,15,250,5,19.81,673.4,725.19,0,34.09,112.76,3.68,12.88
32297,16,250,5,18.3,157.69,725.21,0,37.99,124.93,2.8,14.5
32298,17,250,5,17.11,47.68,725.7,0,42.3,122.99,2.34,20.1
32299,18,250,5,15.91,0,726.42,0,44.69,160.85,2.4,25.03
32300,19,250,5,14.99,0,727.17,0,45.25,189.3,2.84,34.85
32301,20,250,5,14.42,0,727.69,0,47.94,189.67,2.66,33.72
32302,21,250,5,13.89,0,728.23,0,49,199.45,2.38,34.69
32303,22,250,5,13.44,0,728.36,0,50.82,210.82,2.37,16.48
32304,23,250,5,13.08,0,728.17,0,53.26,200.81,2.27,13.61
32305,0,251,6,12.6,0,727.96,0,56.33,206.92,2.18,11.77
32306,1,251,6,12.67,0,727.9,0,57.26,203.7,2.4,9.47
32307,2,251,6,12.47,0,727.72,0,58.64,207.68,2.32,10.29
32308,3,251,6,12.21,0,727.76,0,56.09,208.23,2.64,
32309,4,251,6,11.86,0,727.77,0,56.44,211.32,2.49,4.91
32310,5,251,6,11.69,0,727.97,0,55.21,209.77,2.58,5.74
32311,6,251,6,12.35,59.96,728.35,0,51.92,202.29,3.22,7.64
